student_id,gpa_core_modules,skill_programming,skill_data_analysis,skill_design,skill_communication,interest_software,interest_data,interest_security,interest_design,interest_management,career_label
S001,2.98,5,5,7,8,4,1,3,6,8,IT Project Management
S002,3.07,6,3,2,2,9,5,5,1,5,DevOps & Cloud Engineering
S003,2.9,6,2,6,7,8,5,5,4,5,Quality Assurance/Testing
S004,3.16,8,4,7,6,7,6,3,4,1,Software Engineering
S005,3.42,7,9,5,7,6,8,6,4,8,Data Science & Analytics
S006,2.7,4,9,1,3,4,6,6,3,6,Database Administration
S007,3.39,9,5,4,4,6,7,7,3,7,Cybersecurity
S008,3.07,8,9,1,6,7,8,8,0,6,Database Administration
S009,3.05,7,9,4,9,7,9,2,1,4,Data Science & Analytics
S010,3.22,6,5,5,6,8,6,7,2,7,DevOps & Cloud Engineering
S011,3.74,6,4,3,4,10,3,6,3,3,Software Engineering
S012,3.75,6,4,4,4,7,4,8,4,5,Quality Assurance/Testing
S013,2.6,9,10,5,6,5,10,3,4,4,Data Science & Analytics
S014,2.75,6,7,3,8,6,8,5,3,3,Database Administration
S015,2.94,4,4,9,9,5,2,0,7,5,UI/UX Design
S016,3.09,8,2,4,7,8,2,2,5,5,Quality Assurance/Testing
S017,3.37,6,5,6,4,9,3,2,0,4,Quality Assurance/Testing
S018,3.59,6,3,1,7,10,5,8,1,6,DevOps & Cloud Engineering
S019,2.67,8,5,3,6,6,2,8,4,6,Cybersecurity
S020,3.65,7,3,5,6,10,6,5,3,2,Software Engineering
S021,3.16,1,2,3,7,6,3,2,6,8,IT Project Management
S022,3.02,10,6,3,6,9,5,6,6,4,Software Engineering
S023,3.33,7,5,3,9,8,4,4,3,5,Software Engineering
S024,3.41,9,9,1,5,7,8,4,3,3,Data Science & Analytics
S025,2.89,5,2,2,8,5,7,3,3,8,IT Project Management
S026,3.48,8,9,4,3,8,7,4,2,8,Database Administration
S027,3.88,8,8,0,5,6,9,5,6,5,Data Science & Analytics
S028,3.08,5,4,3,7,8,6,2,7,2,Quality Assurance/Testing
S029,3.75,8,2,4,5,7,3,7,0,8,DevOps & Cloud Engineering
S030,3.95,6,8,2,7,8,10,5,2,5,Data Science & Analytics
S031,4.0,4,10,4,5,5,10,4,1,5,Data Science & Analytics
S032,3.53,5,6,5,10,4,4,4,5,10,IT Project Management
S033,3.65,7,3,5,9,7,5,5,5,9,IT Project Management
S034,2.93,6,9,3,7,4,7,8,0,7,Database Administration
S035,3.31,4,8,1,8,7,10,5,4,6,Data Science & Analytics
S036,2.96,4,3,8,7,4,2,1,9,5,UI/UX Design
S037,3.12,7,7,3,6,8,5,4,5,2,Software Engineering
S038,3.41,3,1,5,8,8,5,6,5,5,Quality Assurance/Testing
S039,3.11,7,10,2,7,6,10,3,5,3,Data Science & Analytics
S040,3.35,10,3,3,6,9,4,6,2,4,Software Engineering
S041,2.85,6,6,4,5,5,7,9,3,3,Cybersecurity
S042,3.41,3,0,9,9,5,1,1,6,6,UI/UX Design
S043,3.3,6,2,6,5,7,8,9,2,6,Cybersecurity
S044,2.72,8,6,4,3,9,3,6,5,3,Software Engineering
S045,2.7,9,4,6,7,8,5,3,2,3,Quality Assurance/Testing
S046,2.53,6,8,0,5,5,9,8,3,4,Database Administration
S047,3.47,8,6,4,7,8,8,5,5,3,Software Engineering
S048,4.0,6,4,4,7,4,3,2,4,7,IT Project Management
S049,2.72,1,0,8,7,7,4,3,10,6,UI/UX Design
