student_id,gpa_core_modules,skill_programming,skill_data_analysis,skill_design,skill_communication,interest_software,interest_data,interest_security,interest_design,interest_management,career_label,cluster
S001,2.98,5,5,7,8,4,1,3,6,8,IT Project Management,4
S002,3.07,6,3,2,2,9,5,5,1,5,DevOps & Cloud Engineering,1
S003,2.9,6,2,6,7,8,5,5,4,5,Quality Assurance/Testing,1
S004,3.16,8,4,7,6,7,6,3,4,1,Software Engineering,1
S005,3.42,7,9,5,7,6,8,6,4,8,Data Science & Analytics,0
S006,2.7,4,9,1,3,4,6,6,3,6,Database Administration,0
S007,3.39,9,5,4,4,6,7,7,3,7,Cybersecurity,2
S008,3.07,8,9,1,6,7,8,8,0,6,Database Administration,0
S009,3.05,7,9,4,9,7,9,2,1,4,Data Science & Analytics,0
S010,3.22,6,5,5,6,8,6,7,2,7,DevOps & Cloud Engineering,2
S011,3.74,6,4,3,4,10,3,6,3,3,Software Engineering,1
S012,3.75,6,4,4,4,7,4,8,4,5,Quality Assurance/Testing,2
S013,2.6,9,10,5,6,5,10,3,4,4,Data Science & Analytics,0
S014,2.75,6,7,3,8,6,8,5,3,3,Database Administration,0
S015,2.94,4,4,9,9,5,2,0,7,5,UI/UX Design,3
S016,3.09,8,2,4,7,8,2,2,5,5,Quality Assurance/Testing,1
S017,3.37,6,5,6,4,9,3,2,0,4,Quality Assurance/Testing,1
S018,3.59,6,3,1,7,10,5,8,1,6,DevOps & Cloud Engineering,2
S019,2.67,8,5,3,6,6,2,8,4,6,Cybersecurity,2
S020,3.65,7,3,5,6,10,6,5,3,2,Software Engineering,1
S021,3.16,1,2,3,7,6,3,2,6,8,IT Project Management,4
S022,3.02,10,6,3,6,9,5,6,6,4,Software Engineering,1
S023,3.33,7,5,3,9,8,4,4,3,5,Software Engineering,1
S024,3.41,9,9,1,5,7,8,4,3,3,Data Science & Analytics,0
S025,2.89,5,2,2,8,5,7,3,3,8,IT Project Management,4
S026,3.48,8,9,4,3,8,7,4,2,8,Database Administration,0
S027,3.88,8,8,0,5,6,9,5,6,5,Data Science & Analytics,0
S028,3.08,5,4,3,7,8,6,2,7,2,Quality Assurance/Testing,1
S029,3.75,8,2,4,5,7,3,7,0,8,DevOps & Cloud Engineering,2
S030,3.95,6,8,2,7,8,10,5,2,5,Data Science & Analytics,0
S031,4.0,4,10,4,5,5,10,4,1,5,Data Science & Analytics,0
S032,3.53,5,6,5,10,4,4,4,5,10,IT Project Management,4
S033,3.65,7,3,5,9,7,5,5,5,9,IT Project Management,4
S034,2.93,6,9,3,7,4,7,8,0,7,Database Administration,0
S035,3.31,4,8,1,8,7,10,5,4,6,Data Science & Analytics,0
S036,2.96,4,3,8,7,4,2,1,9,5,UI/UX Design,3
S037,3.12,7,7,3,6,8,5,4,5,2,Software Engineering,1
S038,3.41,3,1,5,8,8,5,6,5,5,Quality Assurance/Testing,1
S039,3.11,7,10,2,7,6,10,3,5,3,Data Science & Analytics,0
S040,3.35,10,3,3,6,9,4,6,2,4,Software Engineering,1
S041,2.85,6,6,4,5,5,7,9,3,3,Cybersecurity,2
S042,3.41,3,0,9,9,5,1,1,6,6,UI/UX Design,3
S043,3.3,6,2,6,5,7,8,9,2,6,Cybersecurity,2
S044,2.72,8,6,4,3,9,3,6,5,3,Software Engineering,1
S045,2.7,9,4,6,7,8,5,3,2,3,Quality Assurance/Testing,1
S046,2.53,6,8,0,5,5,9,8,3,4,Database Administration,0
S047,3.47,8,6,4,7,8,8,5,5,3,Software Engineering,1
S048,4.0,6,4,4,7,4,3,2,4,7,IT Project Management,4
S049,2.72,1,0,8,7,7,4,3,10,6,UI/UX Design,3
S050,2.84,2,4,7,4,5,2,2,8,4,UI/UX Design,3
S051,3.02,3,9,2,8,5,9,7,0,9,Database Administration,0
S052,3.03,8,3,0,4,8,4,6,3,4,DevOps & Cloud Engineering,2
S053,3.12,8,2,5,8,3,3,9,1,4,Cybersecurity,2
S054,3.64,5,3,9,6,2,4,4,6,10,IT Project Management,4
S055,3.23,7,5,5,6,8,5,2,4,6,Quality Assurance/Testing,1
S056,4.0,6,6,1,3,5,9,7,3,4,Data Science & Analytics,0
S057,2.9,4,4,3,6,3,5,6,8,9,IT Project Management,4
S058,3.01,8,3,2,7,7,4,10,4,3,Cybersecurity,2
S059,2.27,6,6,6,7,10,2,6,0,5,DevOps & Cloud Engineering,1
S060,3.31,5,9,3,5,7,6,9,1,5,Cybersecurity,0
S061,2.75,3,2,8,6,3,1,3,7,3,UI/UX Design,3
S062,2.96,4,6,4,10,1,4,5,7,8,IT Project Management,4
S063,3.22,8,5,4,4,9,4,6,3,3,Software Engineering,1
S064,3.29,6,9,4,6,9,5,5,3,3,Software Engineering,1
S065,3.73,6,2,4,6,10,2,10,4,6,DevOps & Cloud Engineering,2
S066,3.12,3,2,10,8,2,1,2,10,3,UI/UX Design,3
S067,3.79,4,3,2,10,8,5,4,2,7,DevOps & Cloud Engineering,4
S068,2.9,5,5,5,6,9,2,5,5,5,Quality Assurance/Testing,1
S069,3.75,5,4,6,10,4,2,6,4,10,IT Project Management,4
S070,3.5,2,6,2,6,3,5,4,4,10,IT Project Management,4
